ncessch,zip,locale,title1_status,total_n,fr_lnch_n,red_lnch_n,pupil_tch_ratio,ipr_est,st_schid,lea_cwiftest,fr_lnch_prop,red_lnch_prop,enrl_grd,percent_level_4,percent_level_3,percent_level_2,percent_level_1,wealth_prop,mid_prop,pov_prop,bachelors_pct,high_school,no_diploma_pct,high_ed
410682000760,97910,43-Rural: Remote,6-Not eligible for either TAS or SWP,38,NA,NA,7.6,189,712,0.891,NA,NA,8,NA,NA,NA,NA,0.020833333333333332,0.31790123456790126,0.32330246913580246,13.6,38.7,1.6,4.7
410687001145,97846,43-Rural: Remote,5-Eligible for Title I SWP provides SWP program,243,109,18,13.83,229,1087,0.891,0.448559670781893,0.07407407407407407,3,41.2,47.1,5.9,5.9,0,0.36666666666666664,0.3333333333333333,17.6,31.6,3.9,16
410687001145,97846,43-Rural: Remote,5-Eligible for Title I SWP provides SWP program,243,109,18,13.83,229,1087,0.891,0.448559670781893,0.07407407407407407,4,50,22.2,16.7,11.1,0,0.36666666666666664,0.3333333333333333,17.6,31.6,3.9,16
410687001145,97846,43-Rural: Remote,5-Eligible for Title I SWP provides SWP program,243,109,18,13.83,229,1087,0.891,0.448559670781893,0.07407407407407407,5,43.3,40,13.3,3.3,0,0.36666666666666664,0.3333333333333333,17.6,31.6,3.9,16
410687001145,97846,43-Rural: Remote,5-Eligible for Title I SWP provides SWP program,243,109,18,13.83,229,1087,0.891,0.448559670781893,0.07407407407407407,6,5.6,55.6,27.8,11.1,0,0.36666666666666664,0.3333333333333333,17.6,31.6,3.9,16
410687001145,97846,43-Rural: Remote,5-Eligible for Title I SWP provides SWP program,243,109,18,13.83,229,1087,0.891,0.448559670781893,0.07407407407407407,7,6.3,62.5,25,6.3,0,0.36666666666666664,0.3333333333333333,17.6,31.6,3.9,16
410687001145,97846,43-Rural: Remote,5-Eligible for Title I SWP provides SWP program,243,109,18,13.83,229,1087,0.891,0.448559670781893,0.07407407407407407,8,11.1,44.4,16.7,27.8,0,0.36666666666666664,0.3333333333333333,17.6,31.6,3.9,16
410708000483,97601,33-Town: Remote,5-Eligible for Title I SWP provides SWP program,389,231,40,19.66,196,459,0.85,0.5938303341902313,0.10282776349614396,3,15.9,17.5,20.6,46,0.023464998044583497,0.2624168947985921,0.27688697692608527,13.3,28,10.6,8.7
410708000483,97601,33-Town: Remote,5-Eligible for Title I SWP provides SWP program,389,231,40,19.66,196,459,0.85,0.5938303341902313,0.10282776349614396,4,9.7,25.8,11.3,53.2,0.023464998044583497,0.2624168947985921,0.27688697692608527,13.3,28,10.6,8.7
410708000483,97601,33-Town: Remote,5-Eligible for Title I SWP provides SWP program,389,231,40,19.66,196,459,0.85,0.5938303341902313,0.10282776349614396,5,11.9,28.8,25.4,33.9,0.023464998044583497,0.2624168947985921,0.27688697692608527,13.3,28,10.6,8.7
410516001187,97116,21-Suburb: Large,5-Eligible for Title I SWP provides SWP program,496,292,44,19.91,224,1133,1.053,0.5887096774193549,0.08870967741935484,3,10.5,15.1,32.6,41.9,0.05344757241942064,0.24071807425540595,0.1762545899632803,13.3,31.5,7.1,8.1
410516001187,97116,21-Suburb: Large,5-Eligible for Title I SWP provides SWP program,496,292,44,19.91,224,1133,1.053,0.5887096774193549,0.08870967741935484,4,5.4,17.6,28.4,48.6,0.05344757241942064,0.24071807425540595,0.1762545899632803,13.3,31.5,7.1,8.1
411071000299,97470,33-Town: Remote,2-Eligible for Title I TAS provides TAS program,678,293,71,19.01,138,279,0.884,0.43215339233038347,0.10471976401179942,6,15.5,29.6,34.5,20.4,0.04961678096006454,0.23275514320290439,0.22670431625655507,9.3,32.8,7.8,7.4
411071000299,97470,33-Town: Remote,2-Eligible for Title I TAS provides TAS program,678,293,71,19.01,138,279,0.884,0.43215339233038347,0.10471976401179942,7,13.7,43.4,19.8,23.1,0.04961678096006454,0.23275514320290439,0.22670431625655507,9.3,32.8,7.8,7.4
411071000299,97470,33-Town: Remote,2-Eligible for Title I TAS provides TAS program,678,293,71,19.01,138,279,0.884,0.43215339233038347,0.10471976401179942,8,17.2,35.9,25.5,21.4,0.04961678096006454,0.23275514320290439,0.22670431625655507,9.3,32.8,7.8,7.4
411082000811,97302,12-City: Mid-size,6-Not eligible for either TAS or SWP,987,360,75,25.29,263,765,0.902,0.364741641337386,0.07598784194528875,6,19.1,36.9,26.5,17.5,0.08057271195957327,0.21055586749017405,0.18865805727119594,20.2,21.5,5.2,15.8
411082000811,97302,12-City: Mid-size,6-Not eligible for either TAS or SWP,987,360,75,25.29,263,765,0.902,0.364741641337386,0.07598784194528875,7,19.3,42.7,22.5,15.5,0.08057271195957327,0.21055586749017405,0.18865805727119594,20.2,21.5,5.2,15.8
411082000811,97302,12-City: Mid-size,6-Not eligible for either TAS or SWP,987,360,75,25.29,263,765,0.902,0.364741641337386,0.07598784194528875,8,23.7,43.3,18,15,0.08057271195957327,0.21055586749017405,0.18865805727119594,20.2,21.5,5.2,15.8
410693000632,97448,31-Town: Fringe,6-Not eligible for either TAS or SWP,549,186,58,18.38,397,597,0.88,0.33879781420765026,0.10564663023679417,NA,NA,NA,NA,NA,0,0.2611464968152866,0.3630573248407643,11.4,32.9,8.4,6
410198000265,97701,13-City: Small,5-Eligible for Title I SWP provides SWP program,489,192,52,17.78,259,246,0.917,0.39263803680981596,0.10633946830265849,3,38.5,26.2,13.8,21.5,0.10386419477328568,0.19968729059638152,0.16774625865534956,24.3,18.9,4.1,16.3
410198000265,97701,13-City: Small,5-Eligible for Title I SWP provides SWP program,489,192,52,17.78,259,246,0.917,0.39263803680981596,0.10633946830265849,4,60.6,17,9.6,12.8,0.10386419477328568,0.19968729059638152,0.16774625865534956,24.3,18.9,4.1,16.3
410198000265,97701,13-City: Small,5-Eligible for Title I SWP provides SWP program,489,192,52,17.78,259,246,0.917,0.39263803680981596,0.10633946830265849,5,44.1,23.7,15.1,17.2,0.10386419477328568,0.19968729059638152,0.16774625865534956,24.3,18.9,4.1,16.3
410696000747,97911,43-Rural: Remote,6-Not eligible for either TAS or SWP,3,NA,NA,3,214,700,0.891,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,16.3,25.6,18.6,0
410696000747,97911,43-Rural: Remote,6-Not eligible for either TAS or SWP,3,NA,NA,3,214,700,0.891,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,16.3,25.6,18.6,0
410696000747,97911,43-Rural: Remote,6-Not eligible for either TAS or SWP,3,NA,NA,3,214,700,0.891,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,16.3,25.6,18.6,0
410696000747,97911,43-Rural: Remote,6-Not eligible for either TAS or SWP,3,NA,NA,3,214,700,0.891,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,16.3,25.6,18.6,0
410696000747,97911,43-Rural: Remote,6-Not eligible for either TAS or SWP,3,NA,NA,3,214,700,0.891,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,16.3,25.6,18.6,0
410696000747,97911,43-Rural: Remote,6-Not eligible for either TAS or SWP,3,NA,NA,3,214,700,0.891,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,16.3,25.6,18.6,0
411004001830,97227,11-City: Large,6-Not eligible for either TAS or SWP,171,74,14,13.15,348,5218,0.999,0.4327485380116959,0.08187134502923976,3,8,24,44,24,0.07808564231738035,0.24181360201511334,0.21914357682619648,37.2,14,3.8,20.8
411004001830,97227,11-City: Large,6-Not eligible for either TAS or SWP,171,74,14,13.15,348,5218,0.999,0.4327485380116959,0.08187134502923976,4,6.3,25,25,43.8,0.07808564231738035,0.24181360201511334,0.21914357682619648,37.2,14,3.8,20.8
411004001830,97227,11-City: Large,6-Not eligible for either TAS or SWP,171,74,14,13.15,348,5218,0.999,0.4327485380116959,0.08187134502923976,5,NA,NA,NA,NA,0.07808564231738035,0.24181360201511334,0.21914357682619648,37.2,14,3.8,20.8
411082001809,97304,12-City: Mid-size,6-Not eligible for either TAS or SWP,574,153,28,21.18,352,4858,0.902,0.2665505226480836,0.04878048780487805,3,41.7,27.4,19,11.9,0.06995073891625615,0.19146141215106732,0.16453201970443349,23,21.2,4.6,16
411082001809,97304,12-City: Mid-size,6-Not eligible for either TAS or SWP,574,153,28,21.18,352,4858,0.902,0.2665505226480836,0.04878048780487805,4,39.6,31.9,18.7,9.9,0.06995073891625615,0.19146141215106732,0.16453201970443349,23,21.2,4.6,16
411082001809,97304,12-City: Mid-size,6-Not eligible for either TAS or SWP,574,153,28,21.18,352,4858,0.902,0.2665505226480836,0.04878048780487805,5,47.1,27.3,11.6,14,0.06995073891625615,0.19146141215106732,0.16453201970443349,23,21.2,4.6,16
